G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,AB,RBI,RUN,HIT,H2,H3,HR,SB,BB,KK,GD,ERR,LOB
20200820KTHH0,20200820,KT,HH,T,31,3,3,6,0,0,1,3,4,5,1,0,6
20200821KTHH0,20200821,KT,HH,T,30,1,1,4,0,0,1,0,5,12,1,1,7
20200823KTNC0,20200823,KT,NC,B,34,10,10,13,2,0,3,0,8,6,1,0,8
20200824KTNC0,20200824,KT,NC,B,37,8,8,14,1,0,1,1,4,9,0,0,9
20200825KTWO0,20200825,KT,WO,B,32,1,1,5,2,0,0,0,1,7,0,3,5
20200826KTWO0,20200826,KT,WO,B,36,5,6,10,2,0,1,1,7,6,2,0,10
20200827KTLG0,20200827,KT,LG,T,29,0,0,2,1,0,0,0,6,5,0,1,8
20200828KTLG0,20200828,KT,LG,T,36,5,5,5,1,0,2,1,4,13,1,0,2
20200830KTHT0,20200830,KT,HT,T,34,8,8,7,2,0,1,0,11,7,0,1,11
20200830KTHT1,20200830,KT,HT,T,37,4,5,10,1,1,1,1,3,10,0,2,9
20200901KTLT0,20200901,KT,LT,B,37,10,11,14,2,0,2,2,3,7,1,0,6
20200903KTSK0,20200903,KT,SK,B,34,6,6,12,3,0,0,1,4,6,1,0,8
20200904KTSK0,20200904,KT,SK,B,35,9,10,13,3,0,3,2,3,7,0,0,4
20200904KTSK1,20200904,KT,SK,B,33,7,7,9,2,0,2,0,9,3,1,0,10
20200905KTWO0,20200905,KT,WO,T,37,8,8,11,1,0,2,0,6,8,0,0,9
20200906KTWO0,20200906,KT,WO,T,38,7,8,12,2,0,0,0,5,6,1,0,10
20200908KTOB0,20200908,KT,OB,T,33,0,0,6,1,0,0,0,5,7,0,0,11
20200909KTOB0,20200909,KT,OB,T,38,4,4,5,0,0,1,1,4,13,0,0,6
20200910KTNC0,20200910,KT,NC,T,32,8,8,8,0,1,4,0,4,7,1,1,2
20200911KTNC0,20200911,KT,NC,T,31,1,1,6,0,1,1,0,6,10,1,0,10
20200912KTHH0,20200912,KT,HH,B,31,5,5,9,1,0,0,3,6,3,0,0,9
20200913KTHH0,20200913,KT,HH,B,33,5,5,12,1,0,0,0,3,11,2,0,8
20200915KTSS0,20200915,KT,SS,B,36,0,0,8,1,0,0,0,2,11,1,1,11
20200916KTSS0,20200916,KT,SS,B,43,11,11,19,4,0,1,0,3,8,0,0,11
20200917KTOB0,20200917,KT,OB,B,31,3,3,9,1,1,0,3,3,8,0,3,8
20200918KTOB0,20200918,KT,OB,B,40,5,5,11,1,0,2,0,5,11,1,1,10
20200919KTSK0,20200919,KT,SK,T,34,5,5,8,0,0,0,1,6,11,1,1,9
20200920KTSK0,20200920,KT,SK,T,37,10,10,11,2,0,1,2,5,10,0,1,6
20200922KTLT0,20200922,KT,LT,T,28,0,0,2,0,0,0,0,2,10,0,0,3
20200923KTLT0,20200923,KT,LT,T,42,9,10,16,3,0,1,1,4,5,0,0,9
20200721LGKT0,20200721,LG,KT,T,38,9,9,13,4,0,2,0,6,7,1,0,8
20200724LGOB0,20200724,LG,OB,T,40,8,8,15,2,1,2,1,6,3,1,0,11
20200725LGOB0,20200725,LG,OB,T,35,2,3,10,3,0,0,0,1,8,3,0,6
20200726LGOB0,20200726,LG,OB,T,33,4,4,7,0,1,0,2,2,8,1,0,5
20200728LGSK0,20200728,LG,SK,T,49,23,24,23,3,1,6,0,9,6,1,0,7
20200729LGSK0,20200729,LG,SK,T,36,11,11,13,0,0,3,1,9,7,2,0,7
20200730LGSK0,20200730,LG,SK,T,39,9,9,13,3,0,1,1,6,6,1,0,9
20200731LGHH0,20200731,LG,HH,B,29,1,1,4,2,0,0,0,2,9,0,0,3
20200801LGHH0,20200801,LG,HH,B,39,9,9,15,3,0,0,0,2,7,0,0,8
20200804LGHT0,20200804,LG,HT,T,41,15,15,16,1,2,3,0,6,9,1,1,5
20200805LGHT0,20200805,LG,HT,T,35,6,6,11,3,0,2,0,5,10,2,0,8
20200806LGHT0,20200806,LG,HT,T,28,1,1,4,0,0,0,0,1,7,0,0,2
20200807LGWO0,20200807,LG,WO,T,36,5,5,10,0,1,1,0,2,10,1,0,7
20200808LGWO0,20200808,LG,WO,T,32,1,1,8,2,0,1,0,3,4,0,0,7
20200809LGWO0,20200809,LG,WO,T,30,1,1,4,2,0,1,0,1,8,1,3,3
20200811LGHT0,20200811,LG,HT,B,36,4,4,9,2,0,1,0,1,11,0,1,6
20200812LGHT0,20200812,LG,HT,B,34,8,8,12,5,0,0,1,3,9,2,0,5
20200813LGHT0,20200813,LG,HT,B,29,4,4,8,1,0,2,0,5,6,0,1,7
20200814LGNC0,20200814,LG,NC,T,43,10,10,18,2,1,4,0,5,6,1,1,12
20200815LGNC0,20200815,LG,NC,T,40,11,13,15,4,0,2,0,4,9,0,0,5
