GDAY_DS,T_ID,VS_T_ID,TB_SC,P_ID,AB,RBI,RUN,HIT,H2,H3,HR,BB,KK
200721,OB,WO,B,69209,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,OB,WO,B,79215,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
200721,SS,NC,T,62415,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
200721,SS,NC,T,74540,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
200721,SS,NC,T,62409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,SS,NC,T,64266,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200721,SS,NC,T,69418,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200721,OB,WO,B,62244,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
200721,SK,LT,B,76802,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
200721,WO,OB,T,64657,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
200721,SK,LT,B,71837,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,KT,LG,B,68050,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200721,KT,LG,B,67025,5.0,3.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0
200721,KT,LG,B,76313,5.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
200721,KT,LG,B,64004,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
200721,HT,HH,T,66614,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
200721,HT,HH,T,63722,4.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0
200721,HT,HH,T,64646,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
200721,HT,HH,T,73209,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
200721,HT,HH,T,65610,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
200721,HT,HH,T,66606,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,HT,HH,T,78629,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
200721,HT,HH,T,65464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,HT,HH,T,72443,5.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
200721,KT,LG,B,74339,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
200721,HT,HH,T,69636,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
200721,HT,HH,T,64560,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
200721,HH,HT,B,50704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,HH,HT,B,78288,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200721,HH,HT,B,65503,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200721,HH,HT,B,64704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,HH,HT,B,71752,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,HH,HT,B,61700,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200721,HH,HT,B,74729,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
200721,HH,HT,B,50709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,HH,HT,B,50730,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
200721,SK,LT,B,65869,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
200721,HH,HT,B,62700,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
200721,HH,HT,B,68743,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
200721,HT,HH,T,69652,2.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0
200721,KT,LG,B,64166,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
200721,KT,LG,B,64012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
