GDAY_DS,T_ID,VS_T_ID,TB_SC,WLS,INN2,BF,AB,HIT,H2,H3,HR,SB,BB,KK,GD,R,ER
200820,HH,KT,B,L,27.0,144.0,31.0,6.0,0.0,0.0,1.0,3.0,4.0,5.0,1.0,3.0,3.0
200820,KT,HH,T,W,27.0,130.0,29.0,2.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0
200820,WO,LG,B,W,27.0,166.0,36.0,9.0,1.0,0.0,1.0,1.0,2.0,9.0,1.0,5.0,5.0
200820,LG,WO,T,L,24.0,149.0,31.0,8.0,2.0,0.0,0.0,2.0,7.0,6.0,1.0,6.0,6.0
200820,OB,LT,B,L,27.0,167.0,36.0,11.0,2.0,1.0,1.0,2.0,7.0,7.0,1.0,6.0,6.0
200820,LT,OB,T,W,27.0,169.0,40.0,14.0,4.0,0.0,0.0,0.0,3.0,10.0,1.0,5.0,5.0
200820,HT,NC,B,L,27.0,170.0,45.0,21.0,3.0,0.0,1.0,3.0,3.0,6.0,0.0,14.0,14.0
200820,NC,HT,T,W,27.0,147.0,33.0,5.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,2.0,1.0
200820,SK,SS,B,L,27.0,167.0,35.0,9.0,2.0,0.0,0.0,2.0,6.0,9.0,1.0,8.0,5.0
200820,SS,SK,T,W,27.0,145.0,35.0,11.0,0.0,0.0,2.0,0.0,4.0,6.0,2.0,3.0,3.0
200821,HH,KT,B,W,27.0,156.0,30.0,4.0,0.0,0.0,1.0,0.0,5.0,12.0,1.0,1.0,1.0
200821,KT,HH,T,L,24.0,136.0,35.0,11.0,2.0,0.0,1.0,0.0,2.0,6.0,1.0,5.0,5.0
200821,WO,LG,B,L,27.0,159.0,36.0,10.0,1.0,1.0,2.0,1.0,6.0,6.0,0.0,7.0,7.0
200821,LG,WO,T,W,27.0,130.0,33.0,6.0,0.0,0.0,1.0,1.0,3.0,6.0,0.0,3.0,3.0
200821,OB,LT,B,W,27.0,144.0,31.0,3.0,1.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0
200821,LT,OB,T,L,27.0,151.0,31.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1.0,1.0
200821,HT,NC,B,L,27.0,149.0,38.0,10.0,5.0,0.0,1.0,0.0,4.0,10.0,0.0,10.0,6.0
200821,NC,HT,T,W,27.0,149.0,34.0,9.0,0.0,0.0,2.0,1.0,3.0,5.0,0.0,4.0,4.0
200821,SK,SS,B,W,27.0,186.0,37.0,11.0,1.0,1.0,2.0,0.0,9.0,8.0,1.0,6.0,5.0
200821,SS,SK,T,L,24.0,123.0,32.0,12.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,8.0,8.0
200822,WO,HT,B,W,27.0,153.0,34.0,7.0,0.0,0.0,0.0,2.0,3.0,10.0,0.0,3.0,1.0
200822,HT,WO,T,L,24.0,144.0,32.0,10.0,1.0,0.0,1.0,1.0,5.0,6.0,2.0,4.0,4.0
200822,SS,LT,B,L,27.0,135.0,39.0,13.0,2.0,0.0,1.0,1.0,2.0,5.0,0.0,5.0,5.0
200822,LT,SS,T,W,27.0,157.0,35.0,10.0,1.0,0.0,0.0,3.0,2.0,5.0,1.0,3.0,2.0
200822,SK,OB,B,L,27.0,168.0,39.0,12.0,1.0,0.0,2.0,2.0,5.0,9.0,0.0,8.0,6.0
200822,OB,SK,T,W,27.0,163.0,36.0,9.0,2.0,0.0,1.0,0.0,5.0,7.0,0.0,1.0,1.0
200823,LG,HH,B,L,27.0,132.0,31.0,6.0,1.0,0.0,1.0,0.0,4.0,6.0,0.0,4.0,2.0
200823,HH,LG,T,W,27.0,159.0,30.0,6.0,1.0,0.0,0.0,0.0,7.0,8.0,3.0,3.0,3.0
200823,WO,HT,B,L,27.0,164.0,36.0,11.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0,8.0,8.0
200823,HT,WO,T,W,27.0,163.0,37.0,13.0,2.0,1.0,0.0,1.0,3.0,9.0,1.0,7.0,7.0
