GDAY_DS,T_ID,VS_T_ID,TB_SC,AB,RBI,RUN,HIT,H2,H3,HR,SB,BB,KK,GD,ERR,LOB
200820,OB,LT,B,40.0,5.0,5.0,14.0,4.0,0.0,0.0,0.0,3.0,10.0,1.0,0.0,11.0
200820,SS,SK,T,35.0,7.0,8.0,9.0,2.0,0.0,0.0,2.0,6.0,9.0,1.0,0.0,7.0
200820,KT,HH,T,31.0,3.0,3.0,6.0,0.0,0.0,1.0,3.0,4.0,5.0,1.0,0.0,6.0
200820,HH,KT,B,29.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,7.0
200821,HH,KT,B,35.0,5.0,5.0,11.0,2.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,8.0
200821,KT,HH,T,30.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,5.0,12.0,1.0,1.0,7.0
200821,WO,LG,B,33.0,3.0,3.0,6.0,0.0,0.0,1.0,1.0,3.0,6.0,0.0,0.0,6.0
200821,LG,WO,T,36.0,7.0,7.0,10.0,1.0,1.0,2.0,1.0,6.0,6.0,0.0,0.0,8.0
200821,OB,LT,B,31.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,2.0,9.0
200821,LT,OB,T,31.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,8.0,0.0,1.0,6.0
200821,HT,NC,B,34.0,4.0,4.0,9.0,0.0,0.0,2.0,1.0,3.0,5.0,0.0,2.0,7.0
200821,SK,SS,B,32.0,8.0,8.0,12.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,2.0,11.0
200821,NC,HT,T,38.0,7.0,10.0,10.0,5.0,0.0,1.0,0.0,4.0,10.0,0.0,0.0,6.0
200821,SS,SK,T,37.0,6.0,6.0,11.0,1.0,1.0,2.0,0.0,9.0,8.0,1.0,0.0,14.0
200822,WO,HT,B,32.0,4.0,4.0,10.0,1.0,0.0,1.0,1.0,5.0,6.0,2.0,1.0,9.0
200822,HT,WO,T,34.0,3.0,3.0,7.0,0.0,0.0,0.0,2.0,3.0,10.0,0.0,1.0,7.0
200822,SS,LT,B,35.0,3.0,3.0,10.0,1.0,0.0,0.0,3.0,2.0,5.0,1.0,1.0,8.0
200822,LT,SS,T,39.0,4.0,5.0,13.0,2.0,0.0,1.0,1.0,2.0,5.0,0.0,1.0,10.0
200822,SK,OB,B,36.0,1.0,1.0,9.0,2.0,0.0,1.0,0.0,5.0,7.0,0.0,1.0,13.0
200822,OB,SK,T,39.0,6.0,8.0,12.0,1.0,0.0,2.0,2.0,5.0,9.0,0.0,0.0,9.0
200823,HH,LG,T,31.0,4.0,4.0,6.0,1.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,5.0
200823,WO,HT,B,37.0,5.0,7.0,13.0,2.0,1.0,0.0,1.0,3.0,9.0,1.0,0.0,7.0
200823,HT,WO,T,36.0,8.0,8.0,11.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0,0.0,6.0
200823,SS,LT,B,31.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,1.0,8.0
200823,LT,SS,T,37.0,10.0,11.0,10.0,2.0,0.0,3.0,1.0,6.0,7.0,0.0,0.0,5.0
200823,KT,NC,B,34.0,10.0,10.0,13.0,2.0,0.0,3.0,0.0,8.0,6.0,1.0,0.0,8.0
200823,NC,KT,T,35.0,1.0,1.0,9.0,2.0,0.0,0.0,0.0,5.0,7.0,1.0,0.0,12.0
200823,SK,OB,B,34.0,1.0,1.0,9.0,1.0,1.0,0.0,0.0,5.0,7.0,0.0,1.0,12.0
200823,OB,SK,T,35.0,8.0,8.0,9.0,0.0,0.0,3.0,3.0,9.0,4.0,0.0,0.0,10.0
200823,LG,HH,B,30.0,3.0,3.0,6.0,1.0,0.0,0.0,0.0,7.0,8.0,3.0,1.0,7.0
200824,HH,LG,T,38.0,5.0,6.0,14.0,1.0,2.0,0.0,0.0,3.0,7.0,0.0,2.0,13.0
200824,LG,HH,B,32.0,3.0,3.0,5.0,1.0,0.0,0.0,1.0,5.0,6.0,1.0,1.0,7.0
200824,KT,NC,B,37.0,8.0,8.0,14.0,1.0,0.0,1.0,1.0,4.0,9.0,0.0,0.0,9.0
200824,NC,KT,T,34.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,9.0
200825,WO,KT,T,36.0,3.0,4.0,10.0,0.0,0.0,0.0,2.0,7.0,6.0,0.0,0.0,13.0
200825,KT,WO,B,32.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,5.0
200825,SK,LT,T,37.0,10.0,10.0,11.0,3.0,0.0,2.0,1.0,9.0,3.0,1.0,2.0,9.0
200825,HT,OB,T,34.0,8.0,8.0,9.0,2.0,0.0,1.0,2.0,11.0,5.0,2.0,1.0,10.0
